url,twitterUrl,id,text,retweetCount,replyCount,likeCount,quoteCount,createdAt,bookmarkCount,isRetweet,isQuote
https://x.com/Jr_Conservat1ve/status/1751794919948058718,https://twitter.com/Jr_Conservat1ve/status/1751794919948058718,1751794919948058718,"@IamSue67 @Yanky_Pollak @RebelNewsOnline @RebelNews_CA @Val_Plante @SPVM @ThevoiceAlexa @ezralevant Just deport everyone who are not helping and harassing Canadian economy.\nIf they want to rally for Khalistan, send them to Nepal or Punjab.\nIf they want to rally for Palestine, send them to Gaza.",0,0,2,0,Mon Jan 29 02:30:30 +0000 2024,0,False,False
https://x.com/orfonline/status/1751729362666397931,https://twitter.com/orfonline/status/1751729362666397931,1751729362666397931,"Despite the growing #political instability in Nepal, the government needs to take bold steps to revamp the #economy, notes @bansh_jha https://t.co/fyvqSvKT71",0,0,0,0,Sun Jan 28 22:10:00 +0000 2024,0,False,False
https://x.com/Khabarhub_Eng/status/1751640973774316029,https://twitter.com/Khabarhub_Eng/status/1751640973774316029,1751640973774316029,"Khabarhub brings you a glimpse of major developments of the day in Nepal, including politics, business/economy, sports, entertainment, and more.\nhttps://t.co/SPnA6qkY7B\n#Khabarhub #national #NewsNutshelltoday",0,0,0,0,Sun Jan 28 16:18:46 +0000 2024,0,False,False
https://x.com/Nepal_travels/status/1751622931711668273,https://twitter.com/Nepal_travels/status/1751622931711668273,1751622931711668273,Nepal\xe2\x80\x99s banking sector faces impact of sluggish economy - Myrepublica https://t.co/qYh8F4ehEK,0,0,0,0,Sun Jan 28 15:07:05 +0000 2024,0,False,False
https://x.com/DhakalSaurav/status/1751619525873721795,https://twitter.com/DhakalSaurav/status/1751619525873721795,1751619525873721795,"""Thrilling week in Kathmandu Valley! \xf0\x9f\x8c\xbf In Our Hands fostering a creative green economy. From envisioning urban greenery to strolling through heritage on the Hadigau walk, and supporting local artisans &amp; food systems at KARESA Haat - a vibrant marketplace. #GreenEconomy #Nepal https://t.co/WxXMNNAK8D",2,1,29,2,Sun Jan 28 14:53:33 +0000 2024,0,False,False
https://x.com/Dorje_sDooing/status/1751431299498410211,https://twitter.com/Dorje_sDooing/status/1751431299498410211,1751431299498410211,"Apparently #InformalEconomy accounts for 50% of the economy.\n\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3\nI guess, I shouldn't be so negative &amp; instead look at the glass as half full &amp; say, ""Hey, 50% is formal!"" #Nepal \xf0\x9f\x98\x81\xf0\x9f\x98\x81\xf0\x9f\x98\x81\xf0\x9f\x98\x81\xf0\x9f\x98\x81\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3https://t.co/dnFFINbxJ7",0,0,0,0,Sun Jan 28 02:25:36 +0000 2024,0,False,True
https://x.com/orfonline/status/1751412272973705419,https://twitter.com/orfonline/status/1751412272973705419,1751412272973705419,"Despite the growing #political instability in Nepal, the government needs to take bold steps to revamp the #economy, notes @bansh_jha https://t.co/fyvqSvKT71",0,0,0,0,Sun Jan 28 01:10:00 +0000 2024,0,False,False
https://x.com/chintuchor21/status/1751384736696864995,https://twitter.com/chintuchor21/status/1751384736696864995,1751384736696864995,"@ColorsTV @munawar0018 Independent trekking guides, like Bhadra Shrestha, are vital to Nepal's struggling economy since all of their income goes directly back into the local system, unlike the larger and internationally owned and runned companies.\n\n#BBKingMunawar\n\nJt",1,0,0,0,Sat Jan 27 23:20:35 +0000 2024,0,False,False
https://x.com/kathmandupost/status/1751368232932454763,https://twitter.com/kathmandupost/status/1751368232932454763,1751368232932454763,"Politics, economy and human stories from the Himalayas \n\n\xe2\x80\x98The Himalayan Arc\xe2\x80\x99 anthology, edited by Namita Gokhale, is an insightful exploration of north-east India, Bhutan, Nepal and Myanmar. \n\nhttps://t.co/I5D9ELs9Et \xe2\x80\x94 by Manushree Mahat",2,0,6,0,Sat Jan 27 22:15:00 +0000 2024,0,False,False
https://x.com/S_A_CCI/status/1751228571157512344,https://twitter.com/S_A_CCI/status/1751228571157512344,1751228571157512344,"#SAARCInsights: Real estate activities contribute 99.97 percent to the informal economy, followed by #agriculture, #forestry and #fishing.\n\nRead more: https://t.co/ESJxLf5Q1z\n\n#SAARC #economy #news #SouthAsia #SCCI #Nepal https://t.co/eZGq8LRsh9",0,0,2,0,Sat Jan 27 13:00:02 +0000 2024,0,False,False
